scorer,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana,Trijana
bodyparts,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,finger5,finger5,hand,hand
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/grasp/img0004.png,240.36111397627644,413.6433728726147,457.7927797833936,269.7547705002578,592.0888086642599,266.5572460030942,726.3848375451264,333.7052604435273,943.8165033522434,688.6304796286745,508.95317173800936,941.2349149045899
labeled-data/grasp/img0005.png,240.36111397627644,413.6433728726147,457.7927797833936,269.7547705002578,592.0888086642599,266.5572460030942,726.3848375451264,333.7052604435273,943.8165033522434,688.6304796286745,508.95317173800936,941.2349149045899
labeled-data/grasp/img0007.png,240.36111397627644,413.6433728726147,457.7927797833936,269.7547705002578,592.0888086642599,266.5572460030942,726.3848375451264,333.7052604435273,940.6189788550798,675.8403816400206,508.95317173800936,941.2349149045899
labeled-data/grasp/img0010.png,214.78091799896856,423.2359463641051,441.8051572975762,266.5572460030944,566.5086126869521,256.96467251160357,726.3848375451264,333.7052604435273,940.6189788550798,675.8403816400206,508.95317173800936,941.2349149045899
labeled-data/grasp/img0013.png,214.78091799896856,423.2359463641051,441.8051572975762,266.5572460030944,566.5086126869521,256.96467251160357,723.187313047963,327.3102114492003,947.0140278494068,666.2478081485301,508.95317173800936,941.2349149045899
labeled-data/grasp/img0015.png,214.78091799896856,423.2359463641051,441.8051572975762,266.5572460030944,566.5086126869521,256.96467251160357,723.187313047963,327.3102114492003,947.0140278494068,666.2478081485301,508.95317173800936,941.2349149045899
labeled-data/grasp/img0018.png,214.78091799896856,423.2359463641051,441.8051572975762,266.5572460030944,566.5086126869521,256.96467251160357,723.187313047963,327.3102114492003,947.0140278494068,666.2478081485301,508.95317173800936,941.2349149045899
labeled-data/grasp/img0023.png,214.78091799896856,423.2359463641051,413.02743682310484,247.3720990201134,572.9036616812791,237.7795255286228,723.187313047963,327.3102114492003,947.0140278494068,659.8527591542031,508.95317173800936,941.2349149045899
labeled-data/grasp/img0027.png,294.7190304280557,400.8532748839607,441.8051572975762,247.3720990201134,579.2987106756061,212.19932955131503,704.0021660649822,301.73001547189233,924.6313563692622,634.2725631768952,508.95317173800936,941.2349149045899
labeled-data/grasp/img0028.png,307.5091284167096,400.8532748839607,457.7927797833938,247.3720990201134,579.2987106756061,212.19932955131503,697.6071170706552,276.14981949458434,924.6313563692622,631.0750386797317,508.95317173800936,941.2349149045899
labeled-data/grasp/img0029.png,320.2992264053636,404.0507993811243,464.1878287777208,253.76714801444018,579.2987106756061,212.19932955131503,697.6071170706552,276.14981949458434,908.6437338834448,624.6799896854047,508.95317173800936,941.2349149045899
labeled-data/grasp/img0033.png,397.0398143372872,471.19881382155745,515.3482207323366,336.90278494069094,611.2739556472411,420.0384218669417,700.8046415678186,445.618617844249,860.6808664259927,599.0997937080969,508.95317173800936,941.2349149045899
labeled-data/grasp/img0036.png,457.79277978339337,560.7294997421351,547.3234657039714,442.42109334708607,633.6566271273855,547.9394017534813,681.6194945848376,554.3344507478076,838.2981949458483,595.9022692109334,508.95317173800936,941.2349149045899
labeled-data/grasp/img0043.png,476.97792676637437,701.4205776173284,544.1259412068077,739.7908715832903,611.2739556472409,701.4205776173284,665.63187209902,589.5072202166064,809.5204744713769,595.9022692109334,512.1506962351727,950.8274883960804
labeled-data/grasp/img0044.png,483.37297576070137,701.4205776173284,540.9284167096441,733.3958225889633,604.8789066529139,701.4205776173284,678.421970087674,599.0997937080969,809.5204744713769,586.3096957194429,508.95317173800936,944.4324394017534
labeled-data/grasp/img0045.png,480.175451263538,704.6181021144919,547.3234657039711,749.3834450747808,617.6690046415679,701.4205776173284,691.212068076328,586.3096957194429,803.1254254770502,583.1121712222794,515.3482207323364,950.8274883960804
labeled-data/grasp/img0056.png,489.76802475502836,707.8156266116554,553.7185146982981,765.3710675605981,624.0640536358949,739.7908715832903,704.002166064982,634.2725631768952,790.3353274883962,611.8898916967507,515.3482207323364,938.0373904074264
labeled-data/grasp/img0058.png,489.76802475502836,707.8156266116554,534.5333677153171,781.3586900464156,611.2739556472409,749.3834450747808,691.212068076328,637.4700876740587,777.5452294997422,592.7047447137699,508.95317173800936,944.4324394017534
labeled-data/grasp/img0059.png,496.16307374935536,714.2106756059824,544.1259412068077,771.7661165549251,617.6690046415679,730.1982980917998,691.212068076328,627.8775141825682,783.9402784940692,602.2973182052604,508.95317173800936,957.2225373904074
